FIPS,state,county name,income,unemployment_rate,less_HS,at_HS,some_college,BS_and_above,All Gender All Race,Male All Race,Female All Race,All Gender White,Male White,Female White,All Gender Black,Male Black,All Gender Hispanic,Male Hispanic,All Gender Asian and Pacific Islander,All Gender American Indian and Alaskan Native,Male American Indian and Alaskan Native,Female American Indian and Alaskan Native,Female Black,Female Hispanic,Male Asian and Pacific Islander,Female Asian and Pacific Islander
48457,TX,Tyler County,43700,8.1,18.30116332,41.14512251,29.97335413,10.58036004,429,540.6,342.7,433.1,565.9,331,498.3,514.5,193.7,206.5,null,null,null,null,440.1,null,null,null
48459,TX,Upshur County,54200,5.2,16.413064,34.27978101,34.94808382,14.35907117,424.5,511.4,342.4,429.1,525.9,342.7,477.2,584.9,174.8,null,null,null,null,null,397,109.8,null,null
48461,TX,Upton County,58000,3.3,24.9882574,33.11413809,27.38374824,14.51385627,391.3,527.7,305.7,421.5,594.3,323,549.5,520.8,321.2,362.2,null,null,null,null,518.2,273.3,null,null
48463,TX,Uvalde County,41800,5.8,31.43614725,21.93993957,30.40636369,16.21754949,337.8,423.7,276.3,337.5,399.9,289.7,null,null,359,462.9,null,null,null,null,null,279,null,null
48465,TX,Val Verde County,42400,5.8,34.76761826,26.1377741,23.24506965,15.84953799,298.8,383.1,230.3,290.7,434.7,162,null,null,295.7,385.3,null,null,null,null,null,221,null,null
48467,TX,Van Zandt County,54600,5.4,20.17716809,37.08589042,30.19910583,12.53783566,448,515.4,373.3,456,531.1,379.5,540.7,681.8,205.9,226.5,null,null,null,null,435.2,173,null,null
48469,TX,Victoria County,56400,4.2,18.40853626,31.07754244,33.82795661,16.68596469,299.8,411.3,219.9,286.5,429.1,196.1,437.6,504.1,307.9,381.5,null,null,null,null,434.6,240.1,null,null
48471,TX,Walker County,57100,5.5,18.28741658,33.14550955,30.4112879,18.15578597,283.5,350.8,234.1,303.2,373.6,261.4,295.4,400.7,180.6,222.6,123.2,null,null,null,318.5,121.2,null,null
48473,TX,Waller County,66200,5.2,19.54675361,38.69097935,22.22356398,19.53870306,343.7,419,261.3,344.2,436.5,260.7,461.9,544.7,208.4,261.8,164,187.3,null,null,378.9,169.4,123,123
48475,TX,Ward County,49500,3.6,29.04515174,33.61954108,25.78830496,11.54700222,455.6,603.4,345.6,549.5,695.5,446.4,538.9,666.6,371.9,447.6,null,null,null,null,495.6,299.6,null,null
48477,TX,Washington County,59600,4.7,19.56483047,30.7021447,25.42938507,24.30363976,322.6,397.9,279.5,320.8,419.7,264.3,464.8,425.1,171.4,279.3,null,null,null,null,463,187.2,null,null
48479,TX,Webb County,40300,5.2,35.85736526,21.1120172,26.11016384,16.9204537,282.1,371.8,215.1,293,385.2,165.1,null,null,284.4,376.9,null,null,null,null,null,217.3,null,null
48481,TX,Wharton County,53200,4.7,26.44715478,32.8663671,25.06891213,15.61756599,337.9,413.6,263,337.6,400.3,280.9,368.1,499.1,258,311.9,170,null,null,null,259.1,188.7,144.4,144.4
48483,TX,Wheeler County,57900,3.6,18.58335578,33.2615136,30.62213843,17.53299219,435.5,520.1,379.3,469.5,553.5,401.1,null,null,null,null,null,null,null,null,null,null,null,null
48485,TX,Wichita County,54400,4.9,15.46886358,32.88587352,31.6452629,20,362.1,467.9,280.4,372.7,484.6,291.2,403.1,476.1,240.9,374.7,null,null,null,null,367.8,149.4,null,null
48487,TX,Wilbarger County,48200,5,22.75788727,32.23443223,26.81082359,18.19685691,373.7,473.3,295.2,381.3,486.5,298.8,413.5,470.4,260.1,278.8,null,null,null,null,377.4,259.6,null,null
48489,TX,Willacy County,27000,12.5,39.21451949,32.20767629,20.12793811,8.449866111,282.6,371,213.3,256.6,334.5,205.9,null,null,297.8,387.8,null,null,null,null,null,227.5,null,null
48491,TX,Williamson County,73200,4.4,7.908206352,20.85882137,33.65669176,37.57628052,218.6,286.4,169,227.5,297.5,174.5,242.7,271.5,171.1,250.8,114.2,null,null,null,244.4,126.6,129.4,129.4
48493,TX,Wilson County,61300,4.2,15.06320225,35.25280899,31.53089888,18.15308989,346.2,444.1,269.7,366.8,468.4,284.4,408.4,536.1,311.9,394.3,180.1,null,null,null,312.2,250.9,164.3,164.3
48495,TX,Winkler County,51400,4.4,32.90529695,28.75487274,30.22242605,8.117404265,485.1,599,373.8,569,732.5,428.2,574.7,670,346.7,410.3,null,null,null,null,473.4,280.4,null,null
48497,TX,Wise County,67700,4.9,17.90407612,35.84158416,30.35617847,15.89816124,349.6,446.6,252.9,366,471.1,262.2,362.8,null,158.1,189.7,150.8,null,null,null,273.6,136.7,126.1,126.1
48499,TX,Wood County,54100,6,17.54745007,35.52401386,29.83330583,17.09523024,431.6,510.2,362,438.5,519.1,366.5,515.5,656,151.2,216.9,null,null,null,null,413.6,110.3,null,null
48501,TX,Yoakum County,54500,3.1,31.77355337,29.83079173,22.49843326,15.89722164,370,446.8,302.4,427.7,523.9,343.8,545,null,222.7,309.6,null,null,null,null,null,177.6,null,null
48503,TX,Young County,53700,4.1,20.07593735,35.27922797,29.20423984,15.44059484,441.2,561.1,369.3,455.5,574.9,375.5,null,null,260.2,null,null,null,null,null,null,null,null,null
48505,TX,Zapata County,28100,5.3,46.31578947,26.34178038,18.85640026,8.48602989,280.2,347.3,231.8,237.1,309.4,null,null,null,298.8,355.4,null,null,null,null,null,254.7,null,null
48507,TX,Zavala County,26300,12.3,39.15045299,24.92202584,26.09535126,9.832169909,362.4,454.9,293.1,372.3,420.1,325.9,null,null,371.4,487.7,null,null,null,null,null,286.9,null,null
49001,UT,Beaver County,49300,3.8,8.895866039,36.65620094,39.79591837,14.65201465,297.5,364,253.8,314.9,377.5,275.1,null,null,null,null,null,null,null,null,null,null,null,null
49003,UT,Box Elder County,64300,3.7,8.673398329,33.15111421,36.52158774,21.65389972,343.1,403.2,280.5,354.4,419.9,286.7,null,null,183.8,201.6,null,null,null,null,null,134.7,null,null
49005,UT,Cache County,55700,3.1,8.073967508,21.24460507,34.80648444,35.87494298,233.4,279.8,206.8,237.3,285.1,210,null,null,65.6,143,null,null,null,null,null,76.6,null,null
49007,UT,Carbon County,55400,4.9,13.56110777,28.53702589,44.67940999,13.22245635,342.9,375.5,288.8,345.6,381.3,295.1,null,null,257.3,221.4,null,null,null,null,null,236.9,null,null
